battery_id,avg_stress,avg_temp,fast_charge_duration,deep_discharge_duration,high_temp_duration,aggressive_discharge_count,avg_soc,aging_budget,stress_norm,temp_norm,dd_norm,fc_norm,soc_norm,health_index,battery_state,remaining_health,consumed_life,equivalent_aging_factor,estimated_total_cycles,rul_cycles,replacement_policy,primary_causes,recommendation,guardian_report,guardian_status,twin_health_score,twin_confidence,failure_probability,digital_twin_state,digital_twin_report
B0031,18.48699928498376,45.76434850852099,17419.788,1249185.044,985901207.929,6286,,15,0.1848699928498375,0.9152869701704198,0.0017492290468599,1.3934859595421008e-05,0,85,CRITICAL,15,85,0.5691736785809163,1756.9329672679787,264,PLAN_SERVICE,"high temperature exposure, frequent fast charging, deep discharge events, accelerated battery aging",Immediate inspection and battery replacement,"Battery B0031: High risk of battery failure. Current state: CRITICAL. Estimated remaining life: 264 cycles. Main degradation contributors: high temperature exposure, frequent fast charging, deep discharge events, accelerated battery aging. Recommended action: Immediate inspection and battery replacement",High risk of battery failure,27.546400543183378,100,75,FAILURE_IMMINENT,Digital Twin predicts battery B0031 to be in FAILURE_IMMINENT state with 75% probability of failure and 264 remaining useful cycles.
B0032,19.97773276494067,45.78443570278495,26805751.409,2241295.649,985901207.929,6244,,15,0.1997773276494067,0.915688714055699,0.0031384777384763,0.0214431072429913,0,85,CRITICAL,15,85,0.5727663401480687,1745.9126521671733,262,PLAN_SERVICE,"high temperature exposure, frequent fast charging, deep discharge events, accelerated battery aging",Immediate inspection and battery replacement,"Battery B0032: High risk of battery failure. Current state: CRITICAL. Estimated remaining life: 262 cycles. Main degradation contributors: high temperature exposure, frequent fast charging, deep discharge events, accelerated battery aging. Recommended action: Immediate inspection and battery replacement",High risk of battery failure,27.308312973833274,100,75,FAILURE_IMMINENT,Digital Twin predicts battery B0032 to be in FAILURE_IMMINENT state with 75% probability of failure and 262 remaining useful cycles.
B0033,11.492163775896485,27.238503007917544,707510432.104,51917917.462,57064336.41,21144,,35,0.1149216377589648,0.5447700601583508,0.0727004615634887,0.5659689161351956,0,65,DEGRADED,35,65,0.4956279447725648,2017.6424887803348,706,NORMAL,"frequent fast charging, deep discharge events, accelerated battery aging",Reduce fast charging and monitor temperature,"Battery B0033: Battery performance degradation detected. Current state: DEGRADED. Estimated remaining life: 706 cycles. Main degradation contributors: frequent fast charging, deep discharge events, accelerated battery aging. Recommended action: Reduce fast charging and monitor temperature",Battery performance degradation detected,44.20382139217539,100,30,MODERATE_RISK,Digital Twin predicts battery B0033 to be in MODERATE_RISK state with 30% probability of failure and 706 remaining useful cycles.
B0034,11.324880927799573,27.40108438647941,695238284.406,49184044.403,62862343.906,20983,,35,0.1132488092779957,0.5480216877295883,0.0688722295587909,0.5561518819034416,0,65,DEGRADED,35,65,0.4942026501296715,2023.4614276908767,708,NORMAL,"frequent fast charging, deep discharge events, accelerated battery aging",Reduce fast charging and monitor temperature,"Battery B0034: Battery performance degradation detected. Current state: DEGRADED. Estimated remaining life: 708 cycles. Main degradation contributors: frequent fast charging, deep discharge events, accelerated battery aging. Recommended action: Reduce fast charging and monitor temperature",Battery performance degradation detected,44.225124509463924,100,30,MODERATE_RISK,Digital Twin predicts battery B0034 to be in MODERATE_RISK state with 30% probability of failure and 708 remaining useful cycles.
B0036,1.074402402092367,26.33128402410693,63108272.671,12236115.003,0.0,3648,,35,0.0107440240209236,0.5266256804821386,0.0171341851127431,0.0504831011135112,0,65,DEGRADED,35,65,0.40265572231011,2483.5112096825937,869,NORMAL,"frequent fast charging, deep discharge events, accelerated battery aging",Reduce fast charging and monitor temperature,"Battery B0036: Battery performance degradation detected. Current state: DEGRADED. Estimated remaining life: 869 cycles. Main degradation contributors: frequent fast charging, deep discharge events, accelerated battery aging. Recommended action: Reduce fast charging and monitor temperature",Battery performance degradation detected,46.873416972936305,100,30,MODERATE_RISK,Digital Twin predicts battery B0036 to be in MODERATE_RISK state with 30% probability of failure and 869 remaining useful cycles.
B0038,23.357018848023813,40.36826635342205,244608902.685,9478175.884,843950145.615,3239,,15,0.2335701884802381,0.807365327068441,0.0132722534961282,0.1956734900967495,0,85,CRITICAL,15,85,0.5738468059808484,1742.6253654766776,261,PLAN_SERVICE,"high temperature exposure, frequent fast charging, deep discharge events, accelerated battery aging",Immediate inspection and battery replacement,"Battery B0038: High risk of battery failure. Current state: CRITICAL. Estimated remaining life: 261 cycles. Main degradation contributors: high temperature exposure, frequent fast charging, deep discharge events, accelerated battery aging. Recommended action: Immediate inspection and battery replacement",High risk of battery failure,27.336802582342003,100,75,FAILURE_IMMINENT,Digital Twin predicts battery B0038 to be in FAILURE_IMMINENT state with 75% probability of failure and 261 remaining useful cycles.
B0039,12.379543139507163,39.81785923793559,17915.189,8055302.003,843091844.168,876,,25,0.1237954313950716,0.7963571847587119,0.0112798086340814,1.4331152786729144e-05,0,75,DEGRADED,25,75,0.5013474075894123,1994.6248546655863,499,MONITOR,"high temperature exposure, frequent fast charging, deep discharge events, accelerated battery aging",Reduce fast charging and monitor temperature,"Battery B0039: Battery performance degradation detected. Current state: DEGRADED. Estimated remaining life: 499 cycles. Main degradation contributors: high temperature exposure, frequent fast charging, deep discharge events, accelerated battery aging. Recommended action: Reduce fast charging and monitor temperature",Battery performance degradation detected,36.02225517385892,100,45,HIGH_RISK,Digital Twin predicts battery B0039 to be in HIGH_RISK state with 45% probability of failure and 499 remaining useful cycles.
B0040,13.341241990131698,39.6950888760808,21296583.371,9754529.887,842939607.906,972,,25,0.1334124199013169,0.7939017775216161,0.0136592309512182,0.0170360798384608,0,75,DEGRADED,25,75,0.5037627025464169,1985.0616072710536,496,MONITOR,"high temperature exposure, frequent fast charging, deep discharge events, accelerated battery aging",Reduce fast charging and monitor temperature,"Battery B0040: Battery performance degradation detected. Current state: DEGRADED. Estimated remaining life: 496 cycles. Main degradation contributors: high temperature exposure, frequent fast charging, deep discharge events, accelerated battery aging. Recommended action: Reduce fast charging and monitor temperature",Battery performance degradation detected,35.87157414055546,100,45,HIGH_RISK,Digital Twin predicts battery B0040 to be in HIGH_RISK state with 45% probability of failure and 496 remaining useful cycles.
B0041,0.4849681837245289,6.297185813670048,7081525.101,13738733.726,0.0,219,,42,0.0048496818372452,0.1259437162734009,0.0192382963725215,0.0056648254274899,0,58,WARNING,42,58,0.268183312156978,3728.792787131592,1566,NORMAL,"frequent fast charging, deep discharge events",Maintain SOC between 20 and 80 percent,"Battery B0041: Early degradation indicators detected. Current state: WARNING. Estimated remaining life: 1566 cycles. Main degradation contributors: frequent fast charging, deep discharge events. Recommended action: Maintain SOC between 20 and 80 percent",Early degradation indicators detected,57.160628460401,100,15,NORMAL,Digital Twin predicts battery B0041 to be in NORMAL state with 15% probability of failure and 1566 remaining useful cycles.
B0042,9.881392637549794,15.601415125478608,424346814.575,18583492.758,44625.108,14989,,35,0.0988139263754979,0.3120283025095721,0.0260223939443873,0.3394538028170479,0,65,DEGRADED,35,65,0.3941296248388277,2537.236322717258,888,NORMAL,"frequent fast charging, deep discharge events, accelerated battery aging",Reduce fast charging and monitor temperature,"Battery B0042: Battery performance degradation detected. Current state: DEGRADED. Estimated remaining life: 888 cycles. Main degradation contributors: frequent fast charging, deep discharge events, accelerated battery aging. Recommended action: Reduce fast charging and monitor temperature",Battery performance degradation detected,46.74380919281718,100,30,MODERATE_RISK,Digital Twin predicts battery B0042 to be in MODERATE_RISK state with 30% probability of failure and 888 remaining useful cycles.
B0043,0.0837570001732001,14.912445695603653,0.0,12587414.203,0.0,287,,55,0.000837570001732,0.298248913912073,0.0176261080409996,0.0,0,45,WARNING,55,45,0.2580874500862182,3874.655662900053,2131,NORMAL,deep discharge events,Maintain SOC between 20 and 80 percent,Battery B0043: Early degradation indicators detected. Current state: WARNING. Estimated remaining life: 2131 cycles. Main degradation contributors: deep discharge events. Recommended action: Maintain SOC between 20 and 80 percent,Early degradation indicators detected,67.03172804001466,100,15,NORMAL,Digital Twin predicts battery B0043 to be in NORMAL state with 15% probability of failure and 2131 remaining useful cycles.
B0044,0.268720880722822,15.003839161322992,8666681.524,12136053.995,0.0,245,,42,0.0026872088072282,0.3000767832264598,0.0169940700653429,0.0069328622251412,0,58,WARNING,42,58,0.3114579391534547,3210.7064045887173,1348,NORMAL,"frequent fast charging, deep discharge events",Maintain SOC between 20 and 80 percent,"Battery B0044: Early degradation indicators detected. Current state: WARNING. Estimated remaining life: 1348 cycles. Main degradation contributors: frequent fast charging, deep discharge events. Recommended action: Maintain SOC between 20 and 80 percent",Early degradation indicators detected,54.96329797669693,100,15,NORMAL,Digital Twin predicts battery B0044 to be in NORMAL state with 15% probability of failure and 1348 remaining useful cycles.
B0045,0.8283453667399827,6.855953346766228,8996729.851,31213932.78,0.0,0,,48,0.0082834536673998,0.1371190669353245,0.0437087508754303,0.0071968824931519,0,52,WARNING,48,52,0.25210104928289,3966.663379008274,1904,NORMAL,"frequent fast charging, deep discharge events",Maintain SOC between 20 and 80 percent,"Battery B0045: Early degradation indicators detected. Current state: WARNING. Estimated remaining life: 1904 cycles. Main degradation contributors: frequent fast charging, deep discharge events. Recommended action: Maintain SOC between 20 and 80 percent",Early degradation indicators detected,62.460477049838566,100,15,NORMAL,Digital Twin predicts battery B0045 to be in NORMAL state with 15% probability of failure and 1904 remaining useful cycles.
B0046,3.384522727997195,7.179649440900757,62278161.767,31412650.168,0.0,0,,48,0.0338452272799719,0.1435929888180151,0.0439870140750061,0.049819058652382,0,52,WARNING,48,52,0.2601685088173623,3843.6627266907135,1845,NORMAL,"frequent fast charging, deep discharge events",Maintain SOC between 20 and 80 percent,"Battery B0046: Early degradation indicators detected. Current state: WARNING. Estimated remaining life: 1845 cycles. Main degradation contributors: frequent fast charging, deep discharge events. Recommended action: Maintain SOC between 20 and 80 percent",Early degradation indicators detected,61.67685041229638,100,15,NORMAL,Digital Twin predicts battery B0046 to be in NORMAL state with 15% probability of failure and 1845 remaining useful cycles.
B0047,0.305557202511874,6.6861018134930825,0.0,24206534.59,0.0,0,,61,0.0030555720251187,0.1337220362698616,0.0338963179490705,0.0,0,39,WARNING,61,39,0.1962097726572795,5096.586099952851,3109,NORMAL,deep discharge events,Maintain SOC between 20 and 80 percent,Battery B0047: Early degradation indicators detected. Current state: WARNING. Estimated remaining life: 3109 cycles. Main degradation contributors: deep discharge events. Recommended action: Maintain SOC between 20 and 80 percent,Early degradation indicators detected,77.21834925573027,100,15,NORMAL,Digital Twin predicts battery B0047 to be in NORMAL state with 15% probability of failure and 3109 remaining useful cycles.
B0048,0.3901300564215358,6.5860901776002185,2315395.9,22099490.64,0.0,0,,48,0.0039013005642153,0.1317218035520043,0.030945832352038,0.0018521876830139,0,52,WARNING,48,52,0.2473974455108608,4042.07892258168,1940,NORMAL,"frequent fast charging, deep discharge events",Maintain SOC between 20 and 80 percent,"Battery B0048: Early degradation indicators detected. Current state: WARNING. Estimated remaining life: 1940 cycles. Main degradation contributors: frequent fast charging, deep discharge events. Recommended action: Maintain SOC between 20 and 80 percent",Early degradation indicators detected,62.77763456604607,100,15,NORMAL,Digital Twin predicts battery B0048 to be in NORMAL state with 15% probability of failure and 1940 remaining useful cycles.
B0049,4.892562157964349,6.962742015901989,56311175.488,6382122.416,0.0,4979,,35,0.0489256215796434,0.1392548403180397,0.0089368616477632,0.0450458021692567,0,65,DEGRADED,35,65,0.3033579527344511,3296.435748547409,1154,NORMAL,"frequent fast charging, deep discharge events, accelerated battery aging",Reduce fast charging and monitor temperature,"Battery B0049: Battery performance degradation detected. Current state: DEGRADED. Estimated remaining life: 1154 cycles. Main degradation contributors: frequent fast charging, deep discharge events, accelerated battery aging. Recommended action: Reduce fast charging and monitor temperature",Battery performance degradation detected,50.014355190425874,100,30,MODERATE_RISK,Digital Twin predicts battery B0049 to be in MODERATE_RISK state with 30% probability of failure and 1154 remaining useful cycles.
B0050,7.502263168751744,6.773815941053559,53007927.67,122542402.957,0.0,3976,,35,0.0750226316875174,0.1354763188210712,0.1715956589089607,0.0424033880048185,0,65,DEGRADED,35,65,0.3345487196877827,2989.101261344683,1046,NORMAL,"frequent fast charging, deep discharge events, accelerated battery aging",Reduce fast charging and monitor temperature,"Battery B0050: Battery performance degradation detected. Current state: DEGRADED. Estimated remaining life: 1046 cycles. Main degradation contributors: frequent fast charging, deep discharge events, accelerated battery aging. Recommended action: Reduce fast charging and monitor temperature",Battery performance degradation detected,48.96847593806318,100,30,MODERATE_RISK,Digital Twin predicts battery B0050 to be in MODERATE_RISK state with 30% probability of failure and 1046 remaining useful cycles.
B0051,0.0855402798170147,6.593545262414338,0.0,4224195.221,0.0,0,,61,0.0008554027981701,0.1318709052482867,0.0059151244370646,0.0,0,39,WARNING,61,39,0.1901507511994846,5258.985271906254,3208,NORMAL,deep discharge events,Maintain SOC between 20 and 80 percent,Battery B0051: Early degradation indicators detected. Current state: WARNING. Estimated remaining life: 3208 cycles. Main degradation contributors: deep discharge events. Recommended action: Maintain SOC between 20 and 80 percent,Early degradation indicators detected,77.87781443178602,100,15,NORMAL,Digital Twin predicts battery B0051 to be in NORMAL state with 15% probability of failure and 3208 remaining useful cycles.
B0052,18.939626263484243,5.963321750801586,986415.675,714134633.336,0.0,0,,48,0.1893962626348424,0.1192664350160317,1.0,0.0007890775670661,0,52,WARNING,48,52,0.4379349703890678,2283.4440444698566,1096,NORMAL,"frequent fast charging, deep discharge events",Maintain SOC between 20 and 80 percent,"Battery B0052: Early degradation indicators detected. Current state: WARNING. Estimated remaining life: 1096 cycles. Main degradation contributors: frequent fast charging, deep discharge events. Recommended action: Maintain SOC between 20 and 80 percent",Early degradation indicators detected,54.79564159113286,100,15,NORMAL,Digital Twin predicts battery B0052 to be in NORMAL state with 15% probability of failure and 1096 remaining useful cycles.
B0053,5.829251469454416,7.318231537686217,94568001.386,13870092.353,0.0,10978,,35,0.0582925146945441,0.1463646307537243,0.0194222373562915,0.0756491308352024,0,65,DEGRADED,35,65,0.3118229747849698,3206.9477904557566,1122,NORMAL,"frequent fast charging, deep discharge events, accelerated battery aging",Reduce fast charging and monitor temperature,"Battery B0053: Battery performance degradation detected. Current state: DEGRADED. Estimated remaining life: 1122 cycles. Main degradation contributors: frequent fast charging, deep discharge events, accelerated battery aging. Recommended action: Reduce fast charging and monitor temperature",Battery performance degradation detected,49.638801594641144,100,30,MODERATE_RISK,Digital Twin predicts battery B0053 to be in MODERATE_RISK state with 30% probability of failure and 1122 remaining useful cycles.
B0054,4.264354925796797,7.240312619638733,143074710.856,23402229.114,0.0,20184,,35,0.0426435492579679,0.1448062523927746,0.0327700520624228,0.1144517951328579,0,65,DEGRADED,35,65,0.3199233427806069,3125.748785032443,1094,NORMAL,"frequent fast charging, deep discharge events, accelerated battery aging",Reduce fast charging and monitor temperature,"Battery B0054: Battery performance degradation detected. Current state: DEGRADED. Estimated remaining life: 1094 cycles. Main degradation contributors: frequent fast charging, deep discharge events, accelerated battery aging. Recommended action: Reduce fast charging and monitor temperature",Battery performance degradation detected,49.706764376972096,100,30,MODERATE_RISK,Digital Twin predicts battery B0054 to be in MODERATE_RISK state with 30% probability of failure and 1094 remaining useful cycles.
B0055,0.0823711360086391,6.673181900926906,0.0,13016074.979,0.0,1,,61,0.0008237113600863,0.1334636380185381,0.0182263600887088,0.0,0,39,WARNING,61,39,0.1930111815223763,5181.046984493317,3160,NORMAL,deep discharge events,Maintain SOC between 20 and 80 percent,Battery B0055: Early degradation indicators detected. Current state: WARNING. Estimated remaining life: 3160 cycles. Main degradation contributors: deep discharge events. Recommended action: Maintain SOC between 20 and 80 percent,Early degradation indicators detected,77.57107426918184,100,15,NORMAL,Digital Twin predicts battery B0055 to be in NORMAL state with 15% probability of failure and 3160 remaining useful cycles.
B0056,0.2568864762712844,6.560871984458269,6925122.871,15123458.31,0.0,0,,48,0.0025688647627128,0.1312174396891653,0.0211773209196597,0.0055397123597843,0,52,WARNING,48,52,0.245870780960191,4067.177059814644,1952,NORMAL,"frequent fast charging, deep discharge events",Maintain SOC between 20 and 80 percent,"Battery B0056: Early degradation indicators detected. Current state: WARNING. Estimated remaining life: 1952 cycles. Main degradation contributors: frequent fast charging, deep discharge events. Recommended action: Maintain SOC between 20 and 80 percent",Early degradation indicators detected,62.87495588996386,100,15,NORMAL,Digital Twin predicts battery B0056 to be in NORMAL state with 15% probability of failure and 1952 remaining useful cycles.
