battery_id,avg_stress,avg_temp,fast_charge_duration,deep_discharge_duration,high_temp_duration_x,aggressive_discharge_count,avg_soc,risk_score,risk_level,risk_reason,recommended_action,high_temp_duration_y,aging_budget,health_index,remaining_health,consumed_life,battery_state,equivalent_aging_factor,estimated_total_cycles,rul_cycles,replacement_policy,health_index_saturated,risk_score_saturated,health_shap_stress,health_shap_temperature,health_shap_deep_discharge,health_shap_fast_charge,health_shap_aggressive_discharge,health_shap_soc_extremes,health_top_causes,health_top_cause_contributions,health_dominant_cause,health_dominant_contribution,health_strongest_protective_factor,health_n_significant_drivers,health_attribution_reference,risk_shap_stress,risk_shap_temperature,risk_shap_deep_discharge,risk_shap_fast_charge,risk_shap_aggressive_discharge,risk_shap_soc_extremes,risk_top_causes,risk_top_cause_contributions,risk_dominant_cause,risk_dominant_contribution,risk_strongest_protective_factor,risk_n_significant_drivers,risk_attribution_reference,primary_causes,dominant_cause,attribution_method,evidence_confidence,evidence_note,guardian_caveat,guardian_status,recommendation,guardian_report
SIM010,21.8375,29.437220261216726,25,400,51,32,2.662582722941764,55.0,MEDIUM,"deep discharge, frequent fast charging, low SOC exposure",Avoid deep discharge and prolonged high SOC exposure.,51,45.0,55.0,45.0,55.0,WARNING,0.6353679194879018,1573.8912358149698,708,NORMAL,False,False,0.0,-3.5,0.0,2.7,0.0,0.0,frequent fast charging,frequent fast charging +2.7,frequent fast charging,2.7,high temperature exposure,1,fleet,0.0,-3.5,0.0,2.7,0.0,0.0,frequent fast charging,frequent fast charging +2.7,frequent fast charging,2.7,high temperature exposure,1,fleet,frequent fast charging,frequent fast charging,exact_shapley,HEURISTIC,This threshold has not been confirmed against real degradation data. The related current-based signal was tested and did NOT transfer across conditions (sign flipped between room-temperature and cold cohorts) -- see docs/final_report.md Section 4.2.,"Causes explain the rule-based score, which is not a validated predictor of capacity fade (Spearman rho=-0.27, p=0.12, n=33 vs measured NASA fade). Attribution is exact with respect to the score; the score does not explain degradation physics. See docs/adr/0003-explainability-layer.md.",Early degradation indicators detected,Maintain SOC between 20 and 80 percent,Battery SIM010 is in WARNING state with estimated remaining life of 708 cycles. Primary degradation factors include frequent fast charging. Recommended action: Maintain SOC between 20 and 80 percent
SIM011,30.8875,32.69677719682587,49,391,116,87,3.6464520391694974,65.0,HIGH,"high temperature, deep discharge, frequent fast charging, low SOC exposure",Reduce fast charging frequency and follow 20-80 charging rule.,116,35.0,65.0,35.0,65.0,DEGRADED,0.752620249620493,1328.6913293978573,465,MONITOR,False,False,0.0,6.5,0.0,2.7,0.0,0.0,"high temperature exposure, frequent fast charging","high temperature exposure +6.5, frequent fast charging +2.7",high temperature exposure,6.5,none,2,fleet,0.0,6.5,0.0,2.7,0.0,0.0,"high temperature exposure, frequent fast charging","high temperature exposure +6.5, frequent fast charging +2.7",high temperature exposure,6.5,none,2,fleet,"high temperature exposure, frequent fast charging",high temperature exposure,exact_shapley,MIXED,"Temperature exposure is a real, cohort-controlled, statistically significant signal (coefficient 0.0038 Ah/°C, 95% CI 0.002-0.005, p<0.0001; R²=0.015 in-sample -- a real but modest effect, see docs/final_report.md Section 4.3). This threshold has not been confirmed against real degradation data. The related current-based signal was tested and did NOT transfer across conditions (sign flipped between room-temperature and cold cohorts) -- see docs/final_report.md Section 4.2.","Causes explain the rule-based score, which is not a validated predictor of capacity fade (Spearman rho=-0.27, p=0.12, n=33 vs measured NASA fade). Attribution is exact with respect to the score; the score does not explain degradation physics. See docs/adr/0003-explainability-layer.md.",Battery performance degradation detected,Reduce fast charging and monitor temperature,"Battery SIM011 is in DEGRADED state with estimated remaining life of 465 cycles. Primary degradation factors include high temperature exposure, frequent fast charging. Recommended action: Reduce fast charging and monitor temperature"
SIM012,16.625,28.00818461049386,8,363,19,12,11.833571661923267,49.0,MEDIUM,"deep discharge, low SOC exposure",Avoid deep discharge and prolonged high SOC exposure.,19,51.0,49.0,51.0,49.0,WARNING,0.5393591048706511,1854.0523205588968,946,NORMAL,False,False,0.0,-3.5,0.0,-3.3,0.0,0.0,normal usage,no term above attribution floor,normal usage,0.0,high temperature exposure,0,fleet,0.0,-3.5,0.0,-3.3,0.0,0.0,normal usage,no term above attribution floor,normal usage,0.0,high temperature exposure,0,fleet,normal usage,normal usage,exact_shapley,N/A,No causes were flagged for this battery.,"Causes explain the rule-based score, which is not a validated predictor of capacity fade (Spearman rho=-0.27, p=0.12, n=33 vs measured NASA fade). Attribution is exact with respect to the score; the score does not explain degradation physics. See docs/adr/0003-explainability-layer.md.",Early degradation indicators detected,Maintain SOC between 20 and 80 percent,Battery SIM012 is in WARNING state with estimated remaining life of 946 cycles. Primary degradation factors include normal usage. Recommended action: Maintain SOC between 20 and 80 percent
SIM013,22.9375,29.91072937656216,22,399,58,43,3.604006107818122,55.0,MEDIUM,"deep discharge, frequent fast charging, low SOC exposure",Avoid deep discharge and prolonged high SOC exposure.,58,45.0,55.0,45.0,55.0,WARNING,0.629053646882811,1589.6895359487428,715,NORMAL,False,False,0.0,-3.5,0.0,2.7,0.0,0.0,frequent fast charging,frequent fast charging +2.7,frequent fast charging,2.7,high temperature exposure,1,fleet,0.0,-3.5,0.0,2.7,0.0,0.0,frequent fast charging,frequent fast charging +2.7,frequent fast charging,2.7,high temperature exposure,1,fleet,frequent fast charging,frequent fast charging,exact_shapley,HEURISTIC,This threshold has not been confirmed against real degradation data. The related current-based signal was tested and did NOT transfer across conditions (sign flipped between room-temperature and cold cohorts) -- see docs/final_report.md Section 4.2.,"Causes explain the rule-based score, which is not a validated predictor of capacity fade (Spearman rho=-0.27, p=0.12, n=33 vs measured NASA fade). Attribution is exact with respect to the score; the score does not explain degradation physics. See docs/adr/0003-explainability-layer.md.",Early degradation indicators detected,Maintain SOC between 20 and 80 percent,Battery SIM013 is in WARNING state with estimated remaining life of 715 cycles. Primary degradation factors include frequent fast charging. Recommended action: Maintain SOC between 20 and 80 percent
SIM014,31.375,32.7547904991991,51,398,118,87,2.6293655756844583,65.0,HIGH,"high temperature, deep discharge, frequent fast charging, low SOC exposure",Reduce fast charging frequency and follow 20-80 charging rule.,118,35.0,65.0,35.0,65.0,DEGRADED,0.7618648615869046,1312.5687381316925,459,MONITOR,False,False,0.0,6.5,0.0,2.7,0.0,0.0,"high temperature exposure, frequent fast charging","high temperature exposure +6.5, frequent fast charging +2.7",high temperature exposure,6.5,none,2,fleet,0.0,6.5,0.0,2.7,0.0,0.0,"high temperature exposure, frequent fast charging","high temperature exposure +6.5, frequent fast charging +2.7",high temperature exposure,6.5,none,2,fleet,"high temperature exposure, frequent fast charging",high temperature exposure,exact_shapley,MIXED,"Temperature exposure is a real, cohort-controlled, statistically significant signal (coefficient 0.0038 Ah/°C, 95% CI 0.002-0.005, p<0.0001; R²=0.015 in-sample -- a real but modest effect, see docs/final_report.md Section 4.3). This threshold has not been confirmed against real degradation data. The related current-based signal was tested and did NOT transfer across conditions (sign flipped between room-temperature and cold cohorts) -- see docs/final_report.md Section 4.2.","Causes explain the rule-based score, which is not a validated predictor of capacity fade (Spearman rho=-0.27, p=0.12, n=33 vs measured NASA fade). Attribution is exact with respect to the score; the score does not explain degradation physics. See docs/adr/0003-explainability-layer.md.",Battery performance degradation detected,Reduce fast charging and monitor temperature,"Battery SIM014 is in DEGRADED state with estimated remaining life of 459 cycles. Primary degradation factors include high temperature exposure, frequent fast charging. Recommended action: Reduce fast charging and monitor temperature"
SIM015,16.675,28.30519677722264,13,365,23,12,7.906873827750231,49.0,MEDIUM,"deep discharge, low SOC exposure",Avoid deep discharge and prolonged high SOC exposure.,23,51.0,49.0,51.0,49.0,WARNING,0.5554805293406586,1800.243117768637,918,NORMAL,False,False,0.0,-3.5,0.0,-3.3,0.0,0.0,normal usage,no term above attribution floor,normal usage,0.0,high temperature exposure,0,fleet,0.0,-3.5,0.0,-3.3,0.0,0.0,normal usage,no term above attribution floor,normal usage,0.0,high temperature exposure,0,fleet,normal usage,normal usage,exact_shapley,N/A,No causes were flagged for this battery.,"Causes explain the rule-based score, which is not a validated predictor of capacity fade (Spearman rho=-0.27, p=0.12, n=33 vs measured NASA fade). Attribution is exact with respect to the score; the score does not explain degradation physics. See docs/adr/0003-explainability-layer.md.",Early degradation indicators detected,Maintain SOC between 20 and 80 percent,Battery SIM015 is in WARNING state with estimated remaining life of 918 cycles. Primary degradation factors include normal usage. Recommended action: Maintain SOC between 20 and 80 percent
SIM016,22.3625,29.997777912521506,27,382,59,40,5.6868158396774655,55.0,MEDIUM,"deep discharge, frequent fast charging, low SOC exposure",Avoid deep discharge and prolonged high SOC exposure.,59,45.0,55.0,45.0,55.0,WARNING,0.6346252531989712,1575.733072327764,709,NORMAL,False,False,0.0,-3.5,0.0,2.7,0.0,0.0,frequent fast charging,frequent fast charging +2.7,frequent fast charging,2.7,high temperature exposure,1,fleet,0.0,-3.5,0.0,2.7,0.0,0.0,frequent fast charging,frequent fast charging +2.7,frequent fast charging,2.7,high temperature exposure,1,fleet,frequent fast charging,frequent fast charging,exact_shapley,HEURISTIC,This threshold has not been confirmed against real degradation data. The related current-based signal was tested and did NOT transfer across conditions (sign flipped between room-temperature and cold cohorts) -- see docs/final_report.md Section 4.2.,"Causes explain the rule-based score, which is not a validated predictor of capacity fade (Spearman rho=-0.27, p=0.12, n=33 vs measured NASA fade). Attribution is exact with respect to the score; the score does not explain degradation physics. See docs/adr/0003-explainability-layer.md.",Early degradation indicators detected,Maintain SOC between 20 and 80 percent,Battery SIM016 is in WARNING state with estimated remaining life of 709 cycles. Primary degradation factors include frequent fast charging. Recommended action: Maintain SOC between 20 and 80 percent
SIM017,31.3625,32.81527160293527,42,395,122,91,2.8455030340845293,65.0,HIGH,"high temperature, deep discharge, frequent fast charging, low SOC exposure",Reduce fast charging frequency and follow 20-80 charging rule.,122,35.0,65.0,35.0,65.0,DEGRADED,0.7361218125601309,1358.4708168368722,475,MONITOR,False,False,0.0,6.5,0.0,2.7,0.0,0.0,"high temperature exposure, frequent fast charging","high temperature exposure +6.5, frequent fast charging +2.7",high temperature exposure,6.5,none,2,fleet,0.0,6.5,0.0,2.7,0.0,0.0,"high temperature exposure, frequent fast charging","high temperature exposure +6.5, frequent fast charging +2.7",high temperature exposure,6.5,none,2,fleet,"high temperature exposure, frequent fast charging",high temperature exposure,exact_shapley,MIXED,"Temperature exposure is a real, cohort-controlled, statistically significant signal (coefficient 0.0038 Ah/°C, 95% CI 0.002-0.005, p<0.0001; R²=0.015 in-sample -- a real but modest effect, see docs/final_report.md Section 4.3). This threshold has not been confirmed against real degradation data. The related current-based signal was tested and did NOT transfer across conditions (sign flipped between room-temperature and cold cohorts) -- see docs/final_report.md Section 4.2.","Causes explain the rule-based score, which is not a validated predictor of capacity fade (Spearman rho=-0.27, p=0.12, n=33 vs measured NASA fade). Attribution is exact with respect to the score; the score does not explain degradation physics. See docs/adr/0003-explainability-layer.md.",Battery performance degradation detected,Reduce fast charging and monitor temperature,"Battery SIM017 is in DEGRADED state with estimated remaining life of 475 cycles. Primary degradation factors include high temperature exposure, frequent fast charging. Recommended action: Reduce fast charging and monitor temperature"
SIM018,16.75,28.018515579251012,6,384,16,14,5.62205792828969,49.0,MEDIUM,"deep discharge, low SOC exposure",Avoid deep discharge and prolonged high SOC exposure.,16,51.0,49.0,51.0,49.0,WARNING,0.5444562142598914,1836.6949881531864,937,NORMAL,False,False,0.0,-3.5,0.0,-3.3,0.0,0.0,normal usage,no term above attribution floor,normal usage,0.0,high temperature exposure,0,fleet,0.0,-3.5,0.0,-3.3,0.0,0.0,normal usage,no term above attribution floor,normal usage,0.0,high temperature exposure,0,fleet,normal usage,normal usage,exact_shapley,N/A,No causes were flagged for this battery.,"Causes explain the rule-based score, which is not a validated predictor of capacity fade (Spearman rho=-0.27, p=0.12, n=33 vs measured NASA fade). Attribution is exact with respect to the score; the score does not explain degradation physics. See docs/adr/0003-explainability-layer.md.",Early degradation indicators detected,Maintain SOC between 20 and 80 percent,Battery SIM018 is in WARNING state with estimated remaining life of 937 cycles. Primary degradation factors include normal usage. Recommended action: Maintain SOC between 20 and 80 percent
SIM019,22.55,29.990430819336897,26,381,61,42,7.676758862381258,55.0,MEDIUM,"deep discharge, frequent fast charging, low SOC exposure",Avoid deep discharge and prolonged high SOC exposure.,61,45.0,55.0,45.0,55.0,WARNING,0.6313612450057754,1583.8792892504075,713,NORMAL,False,False,0.0,-3.5,0.0,2.7,0.0,0.0,frequent fast charging,frequent fast charging +2.7,frequent fast charging,2.7,high temperature exposure,1,fleet,0.0,-3.5,0.0,2.7,0.0,0.0,frequent fast charging,frequent fast charging +2.7,frequent fast charging,2.7,high temperature exposure,1,fleet,frequent fast charging,frequent fast charging,exact_shapley,HEURISTIC,This threshold has not been confirmed against real degradation data. The related current-based signal was tested and did NOT transfer across conditions (sign flipped between room-temperature and cold cohorts) -- see docs/final_report.md Section 4.2.,"Causes explain the rule-based score, which is not a validated predictor of capacity fade (Spearman rho=-0.27, p=0.12, n=33 vs measured NASA fade). Attribution is exact with respect to the score; the score does not explain degradation physics. See docs/adr/0003-explainability-layer.md.",Early degradation indicators detected,Maintain SOC between 20 and 80 percent,Battery SIM019 is in WARNING state with estimated remaining life of 713 cycles. Primary degradation factors include frequent fast charging. Recommended action: Maintain SOC between 20 and 80 percent
