battery_id,initial_capacity_ah,fade_rate_ah_per_cycle,fade_fit_r2,n_cycles_measured,cycles_to_eol,reached_eol_in_data,avg_stress,avg_temp,fast_charge_duration,deep_discharge_duration,high_temp_duration_x,aggressive_discharge_count,avg_soc,risk_score,risk_level,risk_reason,recommended_action,high_temp_duration_y,aging_budget,health_index,remaining_health,consumed_life,battery_state,equivalent_aging_factor,estimated_total_cycles,rul_cycles,replacement_policy
B0038,1.029753730702141,-0.016132328975918032,0.4702688331270088,47,,False,20.34554970021631,40.32367080466399,0,17041,96076,3238,58.167078625780164,72.0,HIGH,"high temperature, deep discharge, aggressive discharge",Reduce fast charging frequency and follow 20-80 charging rule.,96076,28.0,72.0,28.0,72.0,DEGRADED,0.5189145306152605,1927.099630095792,540,MONITOR
B0039,0.2516108023260631,-0.029053209404479828,0.46015699657353987,47,1.0,True,19.953181481642787,39.779902477006914,0,21121,95471,875,49.697603690072164,62.0,HIGH,"high temperature, deep discharge, aggressive discharge",Reduce fast charging frequency and follow 20-80 charging rule.,95471,38.0,62.0,38.0,62.0,DEGRADED,0.4832098548413679,2069.494216603443,786,NORMAL
B0040,0.7504504759152574,-0.016274431827401445,0.2292072634453859,47,46.0,True,19.668241801315272,39.666570096343875,0,18594,95303,971,51.508511872015255,62.0,HIGH,"high temperature, deep discharge, aggressive discharge",Reduce fast charging frequency and follow 20-80 charging rule.,95303,38.0,62.0,38.0,62.0,DEGRADED,0.47829887991370945,2090.742926641207,794,NORMAL
B0041,0.0557189108907749,-0.01825805142832057,0.6387429176593461,67,6.0,True,10.502639313339865,6.295910922400035,0,94802,0,219,16.502992106233663,55.0,MEDIUM,"deep discharge, aggressive discharge, low SOC exposure",Avoid deep discharge and prolonged high SOC exposure.,0,45.0,55.0,45.0,55.0,WARNING,0.41445919977772705,2412.782731174254,1086,NORMAL
B0042,1.7294727759584863,0.007133133391351461,0.09645023013331294,111,42.0,True,3.7517233872723317,15.649949337597546,0,37330,44,14989,53.07353763830904,52.0,MEDIUM,"deep discharge, aggressive discharge",Avoid deep discharge and prolonged high SOC exposure.,44,48.0,52.0,48.0,52.0,WARNING,0.35042592603058165,2853.6701360182183,1370,NORMAL
B0043,1.6969471483989302,0.0065131505552640185,0.0843460949098969,111,42.0,True,6.412941731369276,14.958813213365806,0,115731,0,287,39.84542353592024,45.0,MEDIUM,"deep discharge, aggressive discharge",Avoid deep discharge and prolonged high SOC exposure.,0,55.0,45.0,55.0,45.0,WARNING,0.45375397529527084,2203.837441532652,1212,NORMAL
B0044,1.6674624279620147,0.006424668462913053,0.08716262709357042,111,42.0,True,6.438719976779624,15.050942321555121,0,116336,0,245,38.061283177389925,45.0,MEDIUM,"deep discharge, aggressive discharge",Avoid deep discharge and prolonged high SOC exposure.,0,55.0,45.0,55.0,45.0,WARNING,0.45525471160777564,2196.57254390274,1208,NORMAL
B0045,0.9650418004126003,0.0035558429180315852,0.7740116714088228,70,13.0,True,3.7697595054891986,6.860864851595626,0,30320,0,0,30.438067190635316,39.0,LOW,deep discharge,Battery behavior is healthy.,0,61.0,39.0,61.0,39.0,WARNING,0.24242920391689715,4124.915578829324,2516,NORMAL
B0046,1.5825030899520387,0.005429969022534584,0.8163122550835533,69,31.0,True,2.115635362673449,7.184632749421086,0,15959,0,0,49.10303401727492,39.0,LOW,deep discharge,Battery behavior is healthy.,0,61.0,39.0,61.0,39.0,WARNING,0.21935921105834186,4558.732661260507,2781,NORMAL
B0047,1.5689157507349218,0.005019738396645037,0.7355594565597585,69,26.0,True,2.1854174044621875,6.688378560958865,0,16551,0,0,47.41668221940445,39.0,LOW,deep discharge,Battery behavior is healthy.,0,61.0,39.0,61.0,39.0,WARNING,0.21789568182968777,4589.352077117447,2800,NORMAL
B0048,1.5548704204461472,0.003922260633658592,0.6774610757079547,69,32.0,True,2.1178085058433407,6.5882875745678025,0,15945,0,0,47.83816917469783,39.0,LOW,deep discharge,Battery behavior is healthy.,0,61.0,39.0,61.0,39.0,WARNING,0.2163534169678741,4622.067051284372,2819,NORMAL
B0049,1.217376856615905,0.031037769216703155,0.3973400155645866,24,1.0,True,4.421573180374782,6.988106856626338,0,13230,0,4979,41.76815695442335,52.0,MEDIUM,"deep discharge, aggressive discharge",Avoid deep discharge and prolonged high SOC exposure.,0,48.0,52.0,48.0,52.0,WARNING,0.2656849985934054,3763.8557136993777,1807,NORMAL
B0050,1.37119031531671,0.062267884944179376,0.30240943799242326,20,1.0,True,8.83887891757559,6.80956526298184,0,38002,0,3976,33.127950227305114,52.0,MEDIUM,"deep discharge, aggressive discharge",Avoid deep discharge and prolonged high SOC exposure.,0,48.0,52.0,48.0,52.0,WARNING,0.3073792800351678,3253.3097217404775,1562,NORMAL
B0051,1.0551826826444242,0.025000659120044174,0.2912025676037098,24,1.0,True,2.5688125211803245,6.616214029773447,0,13355,0,0,37.68500648247942,39.0,LOW,deep discharge,Battery behavior is healthy.,0,61.0,39.0,61.0,39.0,WARNING,0.212040429246653,4716.081756450154,2877,NORMAL
B0053,1.124455707815117,0.0014144983870165813,0.30711390400593264,55,,False,4.6266052079619975,7.318231537686217,0,14621,0,10978,49.854163128408764,52.0,MEDIUM,"deep discharge, aggressive discharge",Avoid deep discharge and prolonged high SOC exposure.,0,48.0,52.0,48.0,52.0,WARNING,0.2697269711941387,3707.4527459111237,1780,NORMAL
B0054,1.0039104244704655,0.0020143517753248895,0.673287201171185,102,1.0,True,4.358088303353799,7.2403126196387335,0,33836,0,20184,46.461164871585794,52.0,MEDIUM,"deep discharge, aggressive discharge",Avoid deep discharge and prolonged high SOC exposure.,0,48.0,52.0,48.0,52.0,WARNING,0.3023710033402512,3307.1954286394416,1587,NORMAL
B0055,1.131958409759927,0.0016284992981380447,0.47129725943514633,102,1.0,True,1.9409364603027326,6.676331244933003,0,32052,0,1,45.31286752069492,39.0,LOW,deep discharge,Battery behavior is healthy.,0,61.0,39.0,61.0,39.0,WARNING,0.24448411805935077,4090.2452393952262,2495,NORMAL
B0056,1.1490454623050026,0.0009988218964676154,0.19890605205551457,102,1.0,True,1.8531797023918133,6.562504696962229,0,30433,0,0,46.254226572790316,39.0,LOW,deep discharge,Battery behavior is healthy.,0,61.0,39.0,61.0,39.0,WARNING,0.24113166803164104,4147.111858691165,2530,NORMAL
